sentiment,negative_reason,text
negative,Scandal,"b""@CanadianGreens @SoniaFurstenau Your campaign hired #WarrenKinsella at the same time he was working for #AndrewScheer? Explain, please. I see a link between 2 factions that should be diametrically opposed. Why should anyone vote Green if you're just a vote-split mechanism engineered by the oil patch? #elxn43"""
negative,Tell lies,"b""@CandiceMalcolm @HeshmatAlavi he's a well-known rafidite-supporting jerk and nothing is done about it. Trudeau is a hypocrite - he brings in Syrian refugees fleeing from Iran's bombs and runs an Iranian regime supporter as an MP. #elxn43 #cdnpoli #TrudeauMustGo #TrudeauHypocrite"""
negative,Climate Problem,"b""@cathmckenna Give us a greenhouse gas reduction strategy that prevents catastrophic climate change &amp; meets IPCC targets. Your plan won't even meet Harper's weak targets. You BOUGHT a pipeline. You get an F grade on climate. #elxn43 #climatevote #cdnpoli https://t.co/hPEvHo8XD2"""
negative,Others,"b""@CBCAlerts @CBCKatie Look at the po' boy squirm.  \n\nGuilty as @JustinTrudeau. \n#cdnpoli \n#elxn43"""
negative,Scandal,"b""@CBCAlerts If Andy won't be transparent during an election , how can we expect transparency if he were PM?\n#ScheerHypocrisy #elxn43"""
negative,Healthcare,"b""@CBCOnTheCoast A coalition gov't might get us evidence-based policy on the opioid crisis that has killed 13,000 Canadians since 2016! We must Stop the Harm, stop this inter-generational trauma  #elxn43 #cdnpoli #stoptheharm #safesupply #decriminalize #voteforchange https://t.co/DhP5smmeof"""
negative,Tell lies,"b""@Charliekuss @Roy_Woodhall @nunnya16 @Yukon_Strong Truth becomes shit in the ears of those that don't want to hear it.\n\n#PeoplesPartyofCanada \n#choosemaxime \n#PPC2019\n#elxn43 \n#cdnpoli \n#Trudeauesque"""
negative,Tell lies,"b""@christinainyeg @grumpy_grannie @AndrewScheer it began long ago, he's just putting some icing on this gift! #CanadiansStandonGuard this #invasionbyStealth is ugly and has no benefit to the people. #WhengreedLeads its usually a Con-job #voteLiberal #BetheChange #elxn43"""
positive,,"b""@CochraneCBC I am going to suggest that the work For JWR was for free to technically the firm wasn't hired. Also the first affidavit was witnessed by himself. #cdnpoli #elxn43"""
negative,Scandal,"b""@costellodaniel1 @Paola_Dec1231 @ZitaAstravas They even blocked me, blocked my second account, and now I'm back! Guess they didn't want me to be commenting on this disaster!!!! #elxn43 #cdnpoli https://t.co/NehiqWW8BR"""
positive,,"b""@CPAC_TV @DiBattistaLaura @CharelleEvelyn @l_stone @lmiljan My voting decision is driven by three things. Contempt for Cons due to Doug Ford's destruction in Ontario, positive gains by federal government on many important issues, and a desire for a healthy progressive country for my children's futures! \nI #ChooseForward\n#cdnpoli #elxn43"""
negative,Scandal,"b""@CPC_HQ candidate apparently having trouble swallowing @AndrewScheer #ScheerLies at today's presser - about hiring #ismellakinsella's Daisy Group to sabotage PPC campaign. #elxn43 \n#ScheerDisaster #ChooseForwardWithTrudeau https://t.co/Bfn8jbQxqE"""
negative,Scandal,"b""@CTVNews So, the Conservative Party spends all campaign distancing itself from Doug Ford and then gets busted in the final days,  for doing something that Doug Ford would've done, in a fashion that Doug Ford would do..... #cdnpoli #elxn43  @CPC_HQ https://t.co/DkwksdCX4Z"""
positive,,"b""@CTVNews The report by this 'source'? LOL #elxn43 https://t.co/seplk0ULZz"""
positive,,"b""@DarbyAllin reminds me of Ed Norton's character in #FightClub #movies #prickstarter #tornado #RWC2019 #Headies #elxn43 #TWICE4EVER #EstadoEmergencia #Thescariestmoviehastobe"""
negative,Scandal,"b""@DeceitinDrugs @AbbLib @long_daze @JoanneCangal I'll gladly send you a thousand dollars if you convince that you've read Snopes on Soros and Right Wing misinformation. Because you haven't. \n\nAnd no one who knows me, doubts that I have done my homework. Start typing tick tock... remember you must convince me!... #elxn43"""
positive,,"b""@derrickokeefe This is better than a black face bullet isn't it? \n\n\xf0\x9f\x90\x8e Mr Dimples\n#elxn43\n\n\xf0\x9f\x92\x81\xf0\x9f\x99\x8a\xf0\x9f\x8d\xbb"""
negative,Tell lies,"b""@dpalmiere @Sheila_Copps @Puglaas @janephilpott Your referral to alchohol consumption is nothing but childish behavior! Stick to facts!! Cheap shots don't put you or your cause in a good light! #cdnpoli #elxn43"""
negative,Others,"b""@DrGillLeighton @JustinTrudeau @jkenney @fordnation @AndrewScheer Trudeau can bash Alberta all he wants, he won't get a single seat in that province. Ontario??? Does he take Ontario for granted or what? #trudeaumustgo #trudeaublackface #TrudeauWorstPM #TrudeauMustResign #cdnpoli #polcan #elxn43 #ontpoli #abpoli #fordnation"""
negative,Others,"b""@DrJacobsRad Obama sold out to #TrudeauBlackface and endorse blackface over NDP turban dude. That's, progressives are discredited as an ideology. Get Fox new's Trucker Carson to cover this! #elxn43 #cdnpoli https://t.co/sa4z1wzrBQ"""
positive,,"b""@EdtheSock Oh, yeah. Agreed.\n\nThis has my mother's approach written ALL OVER IT.\n\nWhich could be why I've been so damn cranky the last few months...junior/high school flashbacks.\n\n#ChooseForward #IVotedLiberal #cdnpoli #elxn43 #ItsOurVote"""
negative,Tell lies,"b""@ElectionsCan_E should have a heyday with this.  Big money will go into defending the position that this CEO didn't tell his employees how to vote, just recirculated information that talked about possible consequences.  Given the balance of power I call BS.\n#cdnpoli #elxn43 https://t.co/Y0RbSdCzIF"""
positive,,"b""@ElizabethMay Get'um young, before they have a chance for even a basic education!  After all, an informed electorate is so, so inconvenient to the cause!  Instead of addressing the realities of #climatechange, protest!\n\nMovement parties, the cancer in the body politic. #cdnpoli #elxn43 https://t.co/9rCilFErBw"""
positive,,"b""@EmilieTaman @NDP Spicy....I like it!\n\nLet's go @EmilieTaman and @theJagmeetSingh!!\n\n#OttawaCentre #Elxn43 #cdnpoli #InItForYou"""
positive,,"b""@fstenson @CBCKatie @KathleenWesterg Scheer thought bubble:\n      'damn, and it worked so good for Jason Kenney'\n\n#elxn43"""
positive,,"b""@gauvywonkanobi @bimvision @Bret_Sears @manny_ottawa #LibConCorruption \n\nHere is a snip of Manny_Ottawa's last tweet just before #KinsellaGate \n\nPlease. Canada. Vote for Canada. #voteppc2019 \n\nEnough of these horrid people trying to dissolve our country to install #PowerHungryLibCons\n\n#elxn43 #cdnpoli https://t.co/A0smLFZLi4"""
negative,Tell lies,"b""@gill_godwin #AndrewScheer, if that's his real name, lied to his own constituents to get elected in the first place. Then when he got caught, he lied again. And again. #deceitfulAndy has been lying ever since. Not a Christian, and definitely not a leader. #elxn43"""
negative,Tell lies,"b""@globalnews https://t.co/sNI4znY2SC #cdnpoli #elxn43 Trudeau didn't cheat to get nominated. Scheer would be in jail, if he had committed resume fraud in Ireland where a man got 2 years in jail for lying on his resume. Scheer got the leadership of the party. Goes to show how low they are."""
negative,Scandal,"b""@globeandmail You're a national newspaper and are just now dropping the paywall?? As a newspaper you reported on how many people went to the advance polls. They should've had access to your articles for free. It is pathetic that this is just now happening. Do better! #elxn43 #stayinformed"""
negative,Tell lies,"b""@Gray_Mackenzie @kkirkup @kinsellawarren @MaximeBernier @CTVNews Stephen Harper is back B1tchezzz.\xc2\xa0 Harper will soon take over from Weak Andy, then welcome Jody &amp; Jane aboard his CON train, and SH will run against @JustinTrudeau Oct. 2019.\xc2\xa0 SH promised #JWR to be Canada's first CON FN woman PM in 2023\xf0\x9f\x9a\xa9 #cdnpoli #elxn43 https://t.co/yHGGj2pBfs"""
negative,Scandal,"b""@Greyseeker @ToonTownDano Until Blanchet became a contender in QC, it would seem reasonable that Trudeau would be their number #1 target. So it would not surprise me if more than one contract had been awarded to 'smear' Scheer opponents. #cdnpoli #elxn43 #ChooseForward"""
negative,Tell lies,"b""@househounds @NikaDragomira That's still not close enough.\n\nI really don't understand the citizens of #ReginaQuAppelle. Andy's lying to them as much as he's lying to the rest of the country.\n\nSeriously, #Regina #ReginaQuAppelle, what are you thinking?\n\n#cdnpoli #elxn43 #ItsOurVote"""
negative,Others,"b""@I_am_Katzen @RobSilver @mynamesnotgordy It's always the damn quiet ones...... #MousyMarshall ! \xf0\x9f\x98\x8b #Satire #CluckCluck\n#ScheerDisaster \n#cdnpoli #elxn43 https://t.co/uE19kC5og6"""
positive,,"b""@ibhattac @MsAmyMacPherson @TrishPalmerYVR @curryb @globeandmail @CanadianGreens @ElizabethMay Perhaps you're correct?\n\nThat would tie JWR's connection closer than his wife's connection. \n\nIt just keeps getting better!\n\n#cdnpoli  #elxn43"""
positive,,"b""@ironyisdead2012 @ThePhotowagon @AndrewScheer I would like for him to do more.  The best the Liberals can do is let @AndrewScheer be himself, it's not pretty ;-) #LyingAndy #elxn43 #cdnpoli"""
positive,,"b""@IsabellaBardoel @CPC_HQ @AndrewScheer Heavens to Betsy!\nDon't forget Dino! They sent that CON dinosaur to jail! \xf0\x9f\x98\x8b #Satire #CluckCluck \n#ScheerDisaster \n#cdnpoli #elxn43 https://t.co/OugSklZkBn"""
negative,Tell lies,"b""@IvisonJ It's long overdue for #cdnmedia to get to the bottom of the @AndrewScheer #CPC viscious personal attacks and the daily lies and smear campaign on #Trudeau. #Kinsella, #IDU, proud boys...the dirty campaign by the RepubliCons...we didn't need Russians.\n\n#cdnpoli\n#elxn43"""
negative,Economy,"b""@ja_brightside @torontogil @JustinTrudeau Pipelines, Huawei, Saudis, and the CPC \n#FactsMatter #cdnpoli #elxn43 #NoCPC #ABC \nFIPA agreement with China: What's really in it for Canada? https://t.co/G29YxEynnb"""
negative,Others,"b""@JaroGiesbrecht @JustinTrudeau So the strategists @CanadianGreens hired was on the Conservative Party's payroll. What was your strategy, Elizabeth, in peeling off progressive votes, ensuring a CPC win? #ThereIsNoFederalGreenWave #bcpoli #elxn43 #cdnpoli #Saanich"""
positive,,"b""@JaroGiesbrecht @JustinTrudeau The folks standing behind #AndrewScheer know its over. Peter MacKay is licking his chops. (His own chops - not Andy's! English language is a pain sometimes.) #elxn43"""
negative,Tell lies,"b""@JaroGiesbrecht @JustinTrudeau Well.... Warren Kinsella has been all over Twitter promoting Andrew Scheer's FAKE SCANDALS.... So yes it sure looks like Andrew Scheer hired Warren Kinsella to smear Justin Trudeau as well!\n\n#cdnpoli #elxn43"""
positive,,"b""@JeffreyLuscombe @AndrewScheer @CBCKatie You're going to need more than water before this is over Andy. \n\nThe CON vultures are circling. \n\n#elxn43 #cdnpoli #ChooseForward #cdnelxn2019"""
positive,,"b""@jkenney Develop a process to reduce GHGs from the tar sands which will reach our targets &amp; you can sell all your oil. Sale won't happen in Cda because we have no refineries. We'll still buy foreign oil. #cdnpoli #elxn43 @AndrewScheer @JustinTrudeau"""
negative,Scandal,"b""@jmask @ChrisMapson @CTVNews @CBCKatie @globeandmail @CBCPolitics So now this 'fire' needs to be extinguished! @CBCNews @CTVNews @NationalPost @globeandmail \n&amp; #PPC now have egg on their faces - again. #TrudeauMustGo #elxn43 https://t.co/G2lPPEbzK4"""
positive,,"b""@JoanneCangal It's important to look at the #CPC connection with Kinsella and JWR!! #cdnpoli #elxn43"""
negative,Women Reproductive right and Racism,"b""@JohnPeate5 Hey, @ElizabethMay, want to explain why you liked this obviously racist, nasty tweet? Isn't your campaign supposed to be politics done differently? #elxn43"""
negative,Tell lies,"b""@JohnPeate5 Yes, that's a fact, #JagmeetSingh has been contradicting himself since day one! He reminds me of #TomMulcair sounding like a closet Conservative! Desperation jumps out like a clown! #cdnpoli #elxn43 #ChooseForward with #TeamTrudeau"""
negative,Tell lies,"b""@Justin_Ling You forgot to mention to the bias coverage (more or less propaganda takes) from the #fakenews #cdnmedia activists who seek to influence our #elxn43 \n\nYou're one of them. So sad."""
positive,,"b""@JustinTrudeau @votekaiser @VBadawey @LiberalBingham Let's make magic October 21st and #ChooseForward #elxn43 \n\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6"""
positive,,"b""@JustinTrudeau Dude... he's a Queens Park staffer for a Provincial Liberal MPP and Leadership candidate (btw... in case you didn't know, come Tueaday, there's still time to register for the Ontario liberal leadership race, we know you're interested).  #elxn43 #lpc #onpoli #cdnpoli #weak"""
negative,Others,"b""@JustinTrudeau is sounding increasingly desperate - today he was attacking @jkenney as well as @fordnation - #Canada needs a new PM who won't be so divisive - that's @AndrewScheer #TrudeauMustGo #cdnpoli #elxn43 #Divisive #Scheer4PM"""
negative,Scandal,"b""@kady Warren Kinsella has been all over Twitter promoting Andrew Scheer's FAKE SCANDALS about Justin Trudeau... It is hard to not believe that Scheer also hired Kinsella to launch a smear campaign against Trudeau!\n\n#cdnpoli #elxn43"""
positive,,"b""@kady You can be transparent and write a letter, that you share publicly, to the Commissioner and give real reasons why he shouldn't be there....if only someone had done that. @theJagmeetSingh @NDP #elxn43"""
negative,Climate Problem,"b""@KyleHarrietha @cathmckenna @liberal_party The sad reality these people are legitimately supporting #climatechange, while Trudeau is simply using it as a relection tool and to line the pockets of his asset Mngmt\nteam/economic advisor's pockets, one and the same as well as others.\n#cdnpoli #elxn43"""
negative,Tell lies,"b""@LeonaAlleslev y'all look so stressed!  Rallies are to get excited about your party, leader, record, future, our future? I'm sorry you have such a weak party and leader that uses lies, disinformation, baseless attacks and cuts that will hurt us #elxn43 \n\nhttps://t.co/T2Y8N3UT3W"""
negative,Others,"b""@LibdemoCA This model would require the Libs to do a deal with the BloQ? That would be interesting... Clearly Trudeau's coyness on Bill21 makes sense now. #elxn43"""
positive,,"b""@liberal_party @jwaldag @CloverdaleNews By #ChooseForward i thought candidate weren't allowed to block the very same people they are asking for votes . #elxn43 #cdnpoli #ElectionsCanada"""
positive,,"b""@long_daze @PaulGBrandon @EdtheSock @maninblack63 You can't honestly think a country can survive off credit cards for long... Eventually these debts will be called on, and it will be our children or grandchildren getting fucked over. But who cares right? As long as our lives are super comfortable, fuck the future. #elxn43"""
positive,,"b""@LoriMarBob @ARadziwill I don't know what you mean by 'discredit' as the vast majority of Canadians totally agree with this or even want LESS immigration or none.\n\nBut this is a very common widespread mainstream view that brought credit to Max and the #PPC as the voice of reason in #elxn43 https://t.co/uVodjzk1zq"""
negative,Climate Problem,"b""@LukaszukAB @jkenney Hey, the sun was in my eyes, and no I was not afraid of @GretaThunberg, much. Plus most of those kids are to young to vote so f*ck'em  #EmbraceGlobalWarming #MakeAlbertaOceanFrontProperty #elxn43 #abpoli"""
positive,,"b""@LyleOberg @HighTimes1235 @jkenney We're funded by member/subscribers, almost all Canadian, small donors, operate on ~$150K/yr w volunteers and some PT contracted services. A non-profit. We didn't eat what that peoplekind said. #ableg #abpoli #cdnpoli #elxn43 https://t.co/6b4tHfncOO"""
negative,Climate Problem,"b""@LyleOberg @jkenney Any comment on China's Belt and Road project, Mr. Oberg? How none of our competitor nations care about #climatechange - just market share? How Greta hangs out w ppl who want to bring down governments? https://t.co/fi3tWMOh80 Any comment? #ableg #abpoli #cdnpoli #elxn43 https://t.co/glXjdI3lhm"""
negative,Others,"b""@MacLeodLisa Even Americans don't support #YankeeDoodleAndy \n\n#elxn43 #CdnPoli"""
negative,Others,"b""@Manny70944327 I don't agree about all cards are on the table. We still don't know about a coalition, investigation into SNC Lavalin, Transmountain, Sales Tax on homes, A non disclosure agreement. ANY OF LIBERAL PLATFORM COSTED OUT AS PER TRUDEAU'S DIRECTIVES? #trudeaumustgo #cdnpoli #elxn43"""
negative,Scandal,"b""@mari_is_so_done I was getting there. I totally agree. \n\nAnyone voting CPC knows they are voting FOR corruption not against it. It's a perk, not a detriment to them.\n\n#cdnpoli #elxn43 #NoCPC \n#ABC #CountryOverParty"""
negative,Scandal,"b""@MartinBowRiver I hope people did not vote early, today's revelations about your party hiring WK to smear PPC, makes me wonder what else was done? Robocalls in BC, fake news on social media, there seems to be no low #scheerDisaster won't dropped to. #elxn43 https://t.co/A3gxtopRZx"""
negative,Others,"b""@MaximeBernier @peoplespca It's a revelation, really? Then you're naive\n\nPolitics is a contact sport, you have to be in it to win it or go home\n\nFrankly, I don't know why they would waste the time &amp; money, because the PPC is polling ~2% and with the margin of error that means 0%\n\n#elxn43"""
negative,Scandal,"b""@MichaelCowtan @telfordk Yes, he will allow MPs to come forward as is their right, but has said he would vote against any legislation and would expect the same from his caucus. It won't happen, it's virtually impossible.\nBut continue fear mongering..it seems it's all you have left.\n#Scheer4PM \n#elxn43"""
